record,tag,field_name,subfield,subfield_name,format,parent,name
c,0,article_ref,,,False,,article-ref
c,0,text_ref,,,False,,text-ref
c,10,analytic_author,n,fname,False,analytic_author,fname
c,10,analytic_author,1,rid,False,analytic_author,rid
c,10,analytic_author,r,role,False,analytic_author,role
c,10,analytic_author,s,surname,False,analytic_author,surname
c,10,analytic_author_anonym,_,anonym,False,analytic_author,anonym
c,107,monograph_update,_,,False,monograph,update
c,107,serial_update,_,,False,serial,update
c,108,monograph_update_dateiso,_,,False,monograph_update,dateiso
c,108,serial_update_dateiso,_,,False,serial_update,dateiso
c,109,monograph_cited,_,,False,monograph,cited
c,109,monograph_cited_dateiso,_,,False,monograph_cited,dateiso
c,109,serial_cited,_,,False,serial,cited
c,109,serial_cited_dateiso,_,,False,serial_cited,dateiso
c,11,analytic_corpauth,d,orgdiv,False,analytic_corpauth,orgdiv
c,11,analytic_corpauth_orgname,_,orgname,False,analytic_corpauth,orgname
c,110,monograph_cited_dateiso,_,,False,monograph_cited,dateiso
c,110,serial_cited_dateiso,_,,False,serial_cited,dateiso
c,118,no,_,,False,,no
c,12,analytic_ctitle_title,l,language,False,analytic_ctitle_title,language
c,12,analytic_ctitle_title,_,title,False,analytic_ctitle,title
c,12,analytic_title,l,language,False,analytic_title,language
c,12,analytic_title,_,title,False,analytic,title
c,12,analytic_vtitle_title,l,language,False,analytic_vtitle_title,language
c,12,analytic_vtitle_title,_,title,False,analytic_vtitle,title
c,137,analytic_location,_,,False,analytic,location
c,137,monograph_location,_,,False,monograph,location
c,137,serial_location,_,,False,serial,location
c,14,analytic_pages,_,,False,analytic,pages
c,14,monograph_pages,_,,False,monograph,pages
c,14,serial_pages,_,,False,serial,pages
c,14,serial_spubinfo_pages,_,,False,serial_spubinfo,pages
c,16,monograph_author,n,fname,False,monograph_author,fname
c,16,monograph_author,1,rid,False,monograph_author,rid
c,16,monograph_author,r,role,False,monograph_author,role
c,16,monograph_author,s,surname,False,monograph_author,surname
c,16,monograph_author_anonym,_,anonym,False,monograph_author,anonym
c,17,monograph_corpauth,d,orgdiv,False,monograph_corpauth,orgdiv
c,17,monograph_corpauth_orgname,_,orgname,False,monograph_corpauth,orgname
c,18,monograph_ctitle_title,l,language,False,monograph_ctitle_title,language
c,18,monograph_ctitle_title,_,title,False,monograph_ctitle,title
c,18,monograph_title,l,language,False,monograph_title,language
c,18,monograph_title,_,title,False,monograph,title
c,18,monograph_vtitle_title,l,language,False,monograph_vtitle_title,language
c,18,monograph_vtitle_title,_,title,False,monograph_vtitle,title
c,20,monograph_extent,_,,False,monograph,extent
c,20,monograph_mpubinfo_extent,_,,False,monograph_mpubinfo,extent
c,20,serial_extent,_,,False,serial,extent
c,20,serial_spubinfo_extent,_,,False,serial_spubinfo,extent
c,22,monograph_tome,_,,False,monograph,tome
c,237,monograph_doi,_,,False,monograph,doi
c,237,serial_doi,_,,False,serial,doi
c,25,monograph_coltitle,_,,False,monograph,coltitle
c,25,monograph_mpubinfo_coltitle,_,,False,monograph_mpubinfo,coltitle
c,26,monograph_colvolid,_,,False,monograph,colvolid
c,28,serial_author,n,fname,False,serial_author,fname
c,28,serial_author,1,rid,False,serial_author,rid
c,28,serial_author,r,role,False,serial_author,role
c,28,serial_author,s,surname,False,serial_author,surname
c,29,serial_corpauth,d,orgdiv,False,serial_corpauth,orgdiv
c,29,serial_corpauth_orgname,_,orgname,False,serial_corpauth,orgname
c,31,analytic_volid,_,,False,analytic,volid
c,31,monograph_mpubinfo_volid,_,,False,monograph_mpubinfo,volid
c,31,monograph_volid,_,,False,monograph,volid
c,31,serial_spubinfo_volid,_,,False,serial_spubinfo,volid
c,31,serial_volid,_,,False,serial,volid
c,32,serial,s,suppl,False,serial,suppl
c,32,serial_spubinfo,s,suppl,False,serial_spubinfo,suppl
c,33,serial_isstitle,_,,False,serial,isstitle
c,34,monograph_part,_,,False,monograph,part
c,34,serial_part,_,,False,serial,part
c,35,serial_issn,_,,False,serial,issn
c,35,serial_spubinfo_issn,_,,False,serial_spubinfo,issn
c,37,monograph_url,_,,False,monograph,url
c,37,serial_url,_,,False,serial,url
c,39,serial_isdesig,_,,False,serial,isdesig
c,44,monograph_thesis_date,_,,False,monograph_thesis,date
c,45,monograph_thesis_date,_,,False,monograph_thesis,date
c,45,monograph_thesis_date_dateiso,_,,False,monograph_thesis_date,dateiso
c,46,monograph_thesis,e,state,False,monograph_thesis,state
c,46,monograph_thesis_city,_,city,False,monograph_thesis,city
c,47,monograph_thesis_country,_,,False,monograph_thesis,country
c,49,analytic_section,_,,False,analytic,section
c,50,monograph_thesis,d,orgdiv,False,monograph_thesis,orgdiv
c,50,monograph_thesis_orgname,_,orgname,False,monograph_thesis,orgname
c,710,analytic_author_previous,_,previous,False,analytic_author,previous
c,710,analytic_corpauth_previous,_,previous,False,analytic_corpauth,previous
c,710,monograph_author_previous,_,previous,False,monograph_author,previous
c,710,monograph_corpauth_previous,_,previous,False,monograph_corpauth,previous
c,51,monograph_thesis_degree,_,,False,monograph_thesis,degree
c,52,conference_sponsor,d,orgdiv,False,conference_sponsor,orgdiv
c,52,conference_sponsor_orgname,_,orgname,False,conference_sponsor,orgname
c,52,monograph_conference_sponsor,d,orgdiv,False,monograph_conference_sponsor,orgdiv
c,52,monograph_conference_sponsor_orgname,_,orgname,False,monograph_conference_sponsor,orgname
c,53,conference,n,no,False,conference,no
c,53,monograph_conference,n,no,False,monograph_conference,no
c,54,conference_date,_,date,False,conference,date
c,54,monograph_conference_date,_,date,False,monograph_conference,date
c,55,conference_date_dateiso,_,dateiso,False,conference_date,dateiso
c,55,monograph_conference_date_dateiso,_,dateiso,False,monograph_conference_date,dateiso
c,56,conference,e,state,False,conference,state
c,56,conference_city,_,city,False,conference,city
c,56,monograph_conference,e,state,False,monograph_conference,state
c,56,monograph_conference_city,_,city,False,monograph_conference,city
c,57,conference_country,_,country,False,conference,country
c,57,monograph_conference_country,_,country,False,monograph_conference,country
c,58,monograph_report_rsponsor,d,orgdiv,False,monograph_report_rsponsor,orgdiv
c,58,monograph_report_rsponsor_orgname,_,orgname,False,monograph_report_rsponsor,orgname
c,59,monograph_report_projname,_,,False,monograph_report,projname
c,591,monograph_report_awarded,n,fname,False,monograph_report_awarded,fname
c,591,monograph_report_awarded,d,orgdiv,False,monograph_report_awarded,orgdiv
c,591,monograph_report_awarded,s,surname,False,monograph_report_awarded,surname
c,591,monograph_report_awarded_orgname,_,orgname,False,monograph_report_awarded,orgname
c,592,monograph_report_no,_,,False,monograph_report,no
c,60,monograph_report_contract,_,,False,monograph_report,contract
c,60,monograph_report_rsponsor_contract,_,,False,monograph_report_rsponsor,contract
c,61,analytic_notes,_,,False,analytic,notes
c,61,monograph_mpubinfo_othinfo,_,,False,monograph_mpubinfo,othinfo
c,61,monograph_notes,_,,False,monograph,notes
c,61,monograph_otherinfo,_,,False,monograph,otherinfo
c,61,monograph_othinfo,_,,False,monograph,othinfo
c,61,serial_notes,_,,False,serial,notes
c,61,serial_otherinfo,_,,False,serial,otherinfo
c,61,serial_othinfo,_,,False,serial,othinfo
c,62,monograph_mpubinfo_pubname,_,,False,monograph_mpubinfo,pubname
c,62,monograph_pubname,_,,False,monograph,pubname
c,62,serial_pubname,_,,False,serial,pubname
c,62,serial_spubinfo_pubname,_,,False,serial_spubinfo,pubname
c,63,monograph_edition,_,,False,monograph,edition
c,63,monograph_mpubinfo_edition,_,,False,monograph_mpubinfo,edition
c,63,serial_edition,_,,False,serial,edition
c,64,analytic_date,_,,False,analytic,date
c,64,monograph_date,_,,False,monograph,date
c,64,serial_date,_,,False,serial,date
c,64,serial_spubinfo_date,_,,False,serial_spubinfo,date
c,65,analytic_date_dateiso,_,,False,analytic_date,dateiso
c,65,monograph_date_dateiso,_,,False,monograph_date,dateiso
c,65,serial_date_dateiso,_,,False,serial_date,dateiso
c,65,serial_spubinfo_date_dateiso,_,,False,serial_spubinfo_date,dateiso
c,66,monograph,e,state,False,monograph,state
c,66,monograph_city,_,city,False,monograph,city
c,66,monograph_mpubinfo,e,state,False,monograph_mpubinfo,state
c,66,monograph_mpubinfo_city,_,city,False,monograph_mpubinfo,city
c,66,serial,e,state,False,serial,state
c,66,serial_city,_,city,False,serial,city
c,66,serial_spubinfo,e,state,False,serial_spubinfo,state
c,66,serial_spubinfo_city,_,city,False,serial_spubinfo,city
c,67,monograph_country,_,,False,monograph,country
c,67,monograph_mpubinfo_country,_,,False,monograph_mpubinfo,country
c,67,serial_country,_,,False,serial,country
c,67,serial_spubinfo_country,_,,False,serial_spubinfo,country
c,69,analytic_isbn,_,,False,analytic,isbn
c,69,monograph_isbn,_,,False,monograph,isbn
c,69,monograph_mpubinfo_isbn,_,,False,monograph_mpubinfo,isbn
c,71,analytic_vtitle_tp,_,,False,analytic_vtitle,tp
c,71,monograph_vtitle_tp,_,,False,monograph_vtitle,tp
c,71,serial_source_tp,_,,False,serial_source,tp
c,710,analytic_author_previous,_,previous,False,analytic_author,previous
c,710,analytic_corpauth_previous,_,previous,False,analytic_corpauth,previous
c,710,monograph_author_previous,_,previous,False,monograph_author,previous
c,710,monograph_corpauth_previous,_,previous,False,monograph_corpauth,previous
c,810,analytic_et_al,_,et_al,False,analytic,et-al
c,810,monograph_et_al,_,et_al,False,monograph,et-al
c,810,serial_et_al,_,et_al,False,serial,et-al
c,93,analytic_subresp,n,fname,False,analytic_subresp,fname
c,93,analytic_subresp,r,role,False,analytic_subresp,role
c,93,analytic_subresp,s,surname,False,analytic_subresp,surname
c,94,monograph_subresp,n,fname,False,monograph_subresp,fname
c,94,monograph_subresp,r,role,False,monograph_subresp,role
c,94,monograph_subresp,s,surname,False,monograph_subresp,surname
c,95,monograph_version,_,,False,monograph,version
c,96,monograph_inpress,_,,False,monograph,inpress
c,96,serial_inpress,_,,False,serial,inpress
c,98,monograph_medium,_,,False,monograph,medium
c,98,serial_medium,_,,False,serial,medium
f,1,ccode,_,,False,,ccode
f,10,authgrp_author,n,fname,False,authgrp_author,fname
f,10,authgrp_author,1,rid,False,authgrp_author,rid
f,10,authgrp_author,r,role,False,authgrp_author,role
f,10,authgrp_author,s,surname,False,authgrp_author,surname
f,11,authgrp_corpauth,d,orgdiv,True,authgrp_corpauth,orgdiv
f,11,authgrp_corpauth_orgname,_,orgname,True,authgrp_corpauth,orgname
f,111,history_received,_,,True,history,received
f,112,history_received_dateiso,_,,False,history_received,dateiso
f,113,history_accepted,_,,True,history,accepted
f,114,history_accepted_dateiso,_,,False,history_accepted,dateiso
f,115,history_revised,_,,True,history,revised
f,116,history_revised_dateiso,_,,False,history_revised,dateiso
f,117,biblist_head_standard,_,,False,biblist_head,standard
f,117,other_head_standard,_,,False,other_head,standard
f,117,other_standard,_,,False,other,standard
f,117,reference_head_standard,_,,False,reference_head,standard
f,117,reference_standard,_,,False,reference,standard
f,12,title,l,language,False,title,language
f,12,title,_,title,True,,title
f,12,titlegrp_title,l,language,False,titlegrp_title,language
f,12,titlegrp_title,_,title,True,titlegrp,title
f,120,version,_,,False,,version
f,121,order,_,,False,,order
f,123,toccode,_,,False,,toccode
f,131,supplvol,_,,False,,supplvol
f,132,supplno,_,,False,,supplno
f,141,figgrp,r,figref,False,figgrp,figref
f,141,figgrp,m,legend,False,figgrp,legend
f,141,figgrp,n,no,False,figgrp,no
f,141,figgrp,s,subtitle,False,figgrp,subtitle
f,141,figgrp,t,title,False,figgrp,title
f,141,figgrp_title,l,language,False,figgrp_title,language
f,142,table,m,legend,False,table,legend
f,142,table,n,no,False,table,no
f,142,table,s,subtitle,False,table,subtitle
f,142,table,t,title,False,table,title
f,142,table_title,l,language,False,table_title,language
f,158,sponsor,_,,False,,sponsor
f,2,pii,,,False,,pii
f,223,ahpdate,_,,False,,ahpdate
f,224,rvpdate,_,,False,,rvpdate
f,225,old_pid,,,False,,old-pid
f,237,doi,_,,False,,doi
f,238,url,_,,False,,url
f,241,product,t,prodtype,False,product,prodtype
f,241,product,i,link,False,product,link
f,241,product,z,linktype,False,product,linktype
f,241,related,t,doctype,False,related,doctype
f,241,related,i,id,False,related,id
f,241,related,i,link,False,related,link
f,241,related,z,linktype,False,related,linktype
f,241,related,t,reltype,False,related,reltype
f,241,related,i,relid,False,related,relid
f,241,related,z,relidtp,False,related,relidtp
f,250,hcomment,_,,False,,hcomment
f,264,deposit_embdate,_,,False,deposit,embdate
f,265,deposit_entrdate,_,,False,deposit,entrdate
f,268,deposit_deposid,_,,False,deposit,deposid
f,31,issuegrp_volid,_,,False,issuegrp,volid
f,31,volid,_,,False,,volid
f,32,issuegrp_issueno,_,,False,issuegrp,issueno
f,32,issueno,_,,False,,issueno
f,35,issn,_,,False,,issn
f,35,issuegrp_issn,_,,False,issuegrp,issn
f,38,type,,,False,,type
f,40,language,_,,False,,language
f,41,isidpart,_,,False,,isidpart
f,42,status,_,,False,,status
f,44,thesis_date,_,,False,thesis,date
f,45,thesis_date_dateiso,_,,False,thesis_date,dateiso
f,46,thesis,e,state,True,thesis,state
f,46,thesis_city,_,city,True,thesis,city
f,47,thesis_country,_,,False,thesis,country
f,49,seccode,_,,False,,seccode
f,50,thesis,d,orgdiv,True,thesis,orgdiv
f,50,thesis_orgname,_,orgname,True,thesis,orgname
f,51,thesis_degree,_,,False,thesis,degree
f,52,conference_sponsor,d,orgdiv,True,conference_sponsor,orgdiv
f,52,conference_sponsor_orgname,_,orgname,True,conference_sponsor,orgname
f,53,conference,n,no,True,conference,no
f,54,conference_date,_,date,True,conference,date
f,540,license,u,href,False,license,href
f,540,license,l,language,False,license,language
f,540,license,t,lictype,False,license,lictype
f,540,license_licensep,_,licensep,False,license,licensep
f,55,conference_date_dateiso,_,dateiso,False,conference_date,dateiso
f,56,conference,e,state,True,conference,state
f,56,conference_city,_,city,True,conference,city
f,57,conference_country,_,country,True,conference,country
f,58,projgrp_psponsor,d,orgdiv,True,projgrp_psponsor,orgdiv
f,58,projgrp_psponsor_orgname,_,orgname,True,projgrp_psponsor,orgname
f,58,report_rsponsor,d,orgdiv,True,report_rsponsor,orgdiv
f,58,report_rsponsor_orgname,_,orgname,True,report_rsponsor,orgname
f,59,projgrp_projname,_,,False,projgrp,projname
f,59,report_projname,_,,False,report,projname
f,591,report_awarded,n,fname,False,report_awarded,fname
f,591,report_awarded,d,orgdiv,True,report_awarded,orgdiv
f,591,report_awarded,s,surname,False,report_awarded,surname
f,591,report_awarded_orgname,_,orgname,True,report_awarded,orgname
f,592,report_no,_,,False,report,no
f,60,projgrp_psponsor_contract,_,,False,projgrp_psponsor,contract
f,60,report_contract,_,,False,report,contract
f,60,report_rsponsor_contract,_,,False,report_rsponsor,contract
f,64,issuegrp_date,_,,False,issuegrp,date
f,65,dateiso,_,dateiso,False,,dateiso
f,65,issuegrp_date_dateiso,_,,False,issuegrp_date,dateiso
f,70,aff,c,city,True,aff,city
f,70,aff,p,country,True,aff,country
f,70,aff,e,email,True,aff,email
f,70,aff,i,id,False,aff,id
f,70,aff,1,orgdiv1,True,aff,orgdiv1
f,70,aff,2,orgdiv2,True,aff,orgdiv2
f,70,aff,3,orgdiv3,True,aff,orgdiv3
f,70,aff,d,orgdiv,True,aff,orgdiv
f,70,aff,s,state,True,aff,state
f,70,aff,z,zipcode,True,aff,zipcode
f,70,aff_orgname,_,orgname,True,aff,orgname
f,71,doctopic,_,,False,,doctopic
f,72,biblist_head_count,_,,False,biblist_head,count
f,72,other_count,_,,False,other,count
f,72,other_head_count,_,,False,other_head,count
f,72,reference_count,_,,False,reference,count
f,72,reference_head_count,_,,False,reference_head,count
f,74,keygrp_dperiod,f,from,False,keygrp_dperiod,from
f,74,keygrp_dperiod,t,to,False,keygrp_dperiod,to
f,770,cltrial,a,ctreg,False,cltrial,ctreg
f,770,cltrial_ctreg,u,cturl,False,cltrial_ctreg,cturl
f,770,cltrial_ctreg_ctdbid,_,ctdbid,False,cltrial_ctreg,ctdbid
f,83,,a,abstract,True,,abstract
f,83,abstract,l,language,False,abstract,language
f,85,keygrp,k,keyword,True,keygrp,keyword
f,85,keygrp,d,scheme,False,keygrp,scheme
f,85,keygrp,s,subkey,True,keygrp,subkey
f,85,keygrp_keyword,l,language,False,keygrp_keyword,language
f,85,keygrp_keyword,t,type,False,keygrp_keyword,type
f,85,keygrp_keyword_id,_,id,False,keygrp_keyword,id
f,85,keygrp_subkey_rid,_,rid,False,keygrp_subkey,rid
f,914,fpage,,,False,,fpage
f,915,lpage,,,False,,lpage
